experiment_accession	is_control	biosample	target	run_type	n_files	bio_reps	tech_reps	platform	sex	organism	replication_type
ENCSR000AKC	False	GM12878	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIe	female	Homo sapiens	isogenic
ENCSR000AKJ	True	GM12878		single-ended	2	2	2	Illumina Genome Analyzer IIe	female	Homo sapiens	isogenic
ENCSR000AKP	False	K562	H3K27ac	single-ended	6	3	4	Illumina Genome Analyzer II	female	Homo sapiens	isogenic
ENCSR000AKY	True	K562		single-ended	5	3	4	Illumina Genome Analyzer IIe	female	Homo sapiens	isogenic
ENCSR000ALB	False	endothelial cell of umbilical vein	H3K27ac	single-ended	2	3	3	Illumina Genome Analyzer IIx	unknown	Homo sapiens	anisogenic
ENCSR000ALG	True	endothelial cell of umbilical vein		single-ended	3	2	4	Illumina Genome Analyzer IIx	unknown	Homo sapiens	anisogenic
ENCSR000ALK	False	keratinocyte	H3K27ac	single-ended	2	3	3	Illumina Genome Analyzer IIx	female	Homo sapiens	isogenic
ENCSR000ALS	True	keratinocyte		single-ended	2	2	2	Illumina Genome Analyzer IIx	female	Homo sapiens	isogenic
ENCSR000ALW	False	mammary epithelial cell	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIe	female	Homo sapiens	isogenic
ENCSR000AMI	True	H1		single-ended	19	5	13	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR000AMN	True	mammary epithelial cell		single-ended	8	2	4	Illumina Genome Analyzer II	female	Homo sapiens	isogenic
ENCSR000AMO	False	HepG2	H3K27ac	single-ended	6	3	4	Illumina Genome Analyzer IIe	male	Homo sapiens	isogenic
ENCSR000AMR	False	fibroblast of lung	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIe	male	Homo sapiens	anisogenic
ENCSR000AMZ	True	fibroblast of lung		single-ended	2	2	2	Illumina Genome Analyzer IIe	male	Homo sapiens	anisogenic
ENCSR000ANF	False	skeletal muscle myoblast	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIe	male	Homo sapiens	isogenic
ENCSR000ANN	True	skeletal muscle myoblast		single-ended	2	2	2	Illumina Genome Analyzer IIx	male	Homo sapiens	isogenic
ENCSR000ANP	False	H1	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIx	male	Homo sapiens	isogenic
ENCSR000ANT	True	myotube		single-ended	2	2	3	Illumina Genome Analyzer II	male	Homo sapiens	isogenic
ENCSR000ANV	False	myotube	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIe	male	Homo sapiens	isogenic
ENCSR000AOB	True	HeLa-S3		single-ended	2	2	2	Illumina Genome Analyzer IIx	female	Homo sapiens	isogenic
